Nro,Año,Período,Código Encuesta,Encuesta,Código Módulo,Módulo,Ficha,Descargar,Descargar.1,Descargar.2,VerPreguntas,VerFicha,SPSS,STATA,CSV
11,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,12,"Esparcimiento , Diversion y Servicios de Cultura",,,,,"javascript:VerPreguntas('280','12','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Esparcimiento+%2C+Diversion+y+Servicios+de+Cultura')","javascript:VerFicha('280','12')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo12.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo12.zip,
12,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,13,Vestido y Calzado,,,,,"javascript:VerPreguntas('280','13','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Vestido+y+Calzado')","javascript:VerFicha('280','13')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo13.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo13.zip,
13,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,15,Gastos de Transferencias,,,,,"javascript:VerPreguntas('280','15','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+de+Transferencias')","javascript:VerFicha('280','15')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo15.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo15.zip,
14,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,16,Muebles y Enseres,,,,,"javascript:VerPreguntas('280','16','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Muebles+y+Enseres')","javascript:VerFicha('280','16')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo16.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo16.zip,
15,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,17,Otros Bienes y Servicios,,,,,"javascript:VerPreguntas('280','17','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Otros+Bienes+y+Servicios')","javascript:VerFicha('280','17')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo17.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo17.zip,
16,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,18,Equipamiento del Hogar,,,,,"javascript:VerPreguntas('280','18','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Equipamiento+del+Hogar')","javascript:VerFicha('280','18')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo18.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo18.zip,
17,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,22,Producción Agrícola,,,,,"javascript:VerPreguntas('280','22','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Agr%EDcola')","javascript:VerFicha('280','22')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo22.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo22.zip,
18,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,23,Subproductos Agricolas,,,,,"javascript:VerPreguntas('280','23','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Agricolas')","javascript:VerFicha('280','23')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo23.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo23.zip,
19,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,24,Producción Forestal,,,,,"javascript:VerPreguntas('280','24','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Forestal')","javascript:VerFicha('280','24')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo24.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo24.zip,
20,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,25,Gastos en Actividades Agricolas y/o Forestales,,,,,"javascript:VerPreguntas('280','25','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Agricolas+y%2Fo+Forestales')","javascript:VerFicha('280','25')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo25.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo25.zip,
21,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,26,Producción Pecuaria,,,,,"javascript:VerPreguntas('280','26','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Pecuaria')","javascript:VerFicha('280','26')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo26.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo26.zip,
22,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,27,Subproductos Pecuarios,,,,,"javascript:VerPreguntas('280','27','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Pecuarios')","javascript:VerFicha('280','27')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo27.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo27.zip,
23,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,28,Gastos en Actividades Pecuarias,,,,,"javascript:VerPreguntas('280','28','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Pecuarias')","javascript:VerFicha('280','28')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo28.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo28.zip,
24,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,34,Sumarias ( Variables Calculadas ),,,,,"javascript:VerPreguntas('280','34','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Sumarias+%28+Variables+Calculadas+%29')","javascript:VerFicha('280','34')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo34.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo34.zip,
25,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,37,Programas Sociales (Miembros del Hogar),,,,,"javascript:VerPreguntas('280','37','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Programas+Sociales++%28Miembros+del+Hogar%29')","javascript:VerFicha('280','37')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo37.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo37.zip,
26,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,77,Ingresos del Trabajador Independiente,,,,,"javascript:VerPreguntas('280','77','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Ingresos+del+Trabajador+Independiente')","javascript:VerFicha('280','77')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo77.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo77.zip,
27,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,78,Bienes y Servicios de Cuidados Personales,,,,,"javascript:VerPreguntas('280','78','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Bienes+y+Servicios+de+Cuidados+Personales')","javascript:VerFicha('280','78')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo78.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo78.zip,
28,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,84,Participación Ciudadana,,,,,"javascript:VerPreguntas('280','84','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Participaci%F3n+Ciudadana')","javascript:VerFicha('280','84')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo84.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo84.zip,
29,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,85,"Gobernabilidad, Democracia y Transparencia",,,,,"javascript:VerPreguntas('280','85','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gobernabilidad%2C+Democracia+y+Transparencia')","javascript:VerFicha('280','85')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo85.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo85.zip,
1,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,1,Características de la Vivienda y del Hogar,,,,,"javascript:VerPreguntas('280','01','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar')","javascript:VerFicha('280','01')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo01.zip,
2,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,2,Características de los Miembros del Hogar,,,,,"javascript:VerPreguntas('280','02','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+los+Miembros+del+Hogar')","javascript:VerFicha('280','02')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo02.zip,
3,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,3,Educación,,,,,"javascript:VerPreguntas('280','03','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Educaci%F3n')","javascript:VerFicha('280','03')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo03.zip,
4,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,4,Salud,,,,,"javascript:VerPreguntas('280','04','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Salud')","javascript:VerFicha('280','04')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo04.zip,
5,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,5,Empleo e Ingresos,,,,,"javascript:VerPreguntas('280','05','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Empleo+e+Ingresos')","javascript:VerFicha('280','05')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo05.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo05.zip,
6,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,7,Gastos en Alimentos y Bebidas (Módulo 601),,,,,"javascript:VerPreguntas('280','07','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Alimentos+y+Bebidas+%28M%F3dulo+601%29')","javascript:VerFicha('280','07')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo07.zip,
7,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,8,Instituciones Beneficas,,,,,"javascript:VerPreguntas('280','08','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Instituciones+Beneficas')","javascript:VerFicha('280','08')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo08.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo08.zip,
8,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,9,Mantenimiento de la Vivienda,,,,,"javascript:VerPreguntas('280','09','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Mantenimiento+de+la+Vivienda')","javascript:VerFicha('280','09')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo09.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo09.zip,
9,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,10,Transportes y Comunicaciones,,,,,"javascript:VerPreguntas('280','10','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Transportes+y+Comunicaciones')","javascript:VerFicha('280','10')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo10.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo10.zip,
10,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,11,Servicios a la Vivienda,,,,,"javascript:VerPreguntas('280','11','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Servicios+a+la+Vivienda')","javascript:VerFicha('280','11')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo11.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo11.zip,
11,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,12,"Esparcimiento , Diversion y Servicios de Cultura",,,,,"javascript:VerPreguntas('280','12','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Esparcimiento+%2C+Diversion+y+Servicios+de+Cultura')","javascript:VerFicha('280','12')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo12.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo12.zip,
12,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,13,Vestido y Calzado,,,,,"javascript:VerPreguntas('280','13','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Vestido+y+Calzado')","javascript:VerFicha('280','13')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo13.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo13.zip,
13,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,15,Gastos de Transferencias,,,,,"javascript:VerPreguntas('280','15','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+de+Transferencias')","javascript:VerFicha('280','15')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo15.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo15.zip,
14,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,16,Muebles y Enseres,,,,,"javascript:VerPreguntas('280','16','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Muebles+y+Enseres')","javascript:VerFicha('280','16')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo16.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo16.zip,
15,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,17,Otros Bienes y Servicios,,,,,"javascript:VerPreguntas('280','17','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Otros+Bienes+y+Servicios')","javascript:VerFicha('280','17')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo17.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo17.zip,
16,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,18,Equipamiento del Hogar,,,,,"javascript:VerPreguntas('280','18','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Equipamiento+del+Hogar')","javascript:VerFicha('280','18')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo18.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo18.zip,
17,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,22,Producción Agrícola,,,,,"javascript:VerPreguntas('280','22','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Agr%EDcola')","javascript:VerFicha('280','22')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo22.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo22.zip,
18,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,23,Subproductos Agricolas,,,,,"javascript:VerPreguntas('280','23','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Agricolas')","javascript:VerFicha('280','23')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo23.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo23.zip,
19,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,24,Producción Forestal,,,,,"javascript:VerPreguntas('280','24','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Forestal')","javascript:VerFicha('280','24')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo24.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo24.zip,
20,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,25,Gastos en Actividades Agricolas y/o Forestales,,,,,"javascript:VerPreguntas('280','25','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Agricolas+y%2Fo+Forestales')","javascript:VerFicha('280','25')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo25.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo25.zip,
21,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,26,Producción Pecuaria,,,,,"javascript:VerPreguntas('280','26','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Pecuaria')","javascript:VerFicha('280','26')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo26.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo26.zip,
22,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,27,Subproductos Pecuarios,,,,,"javascript:VerPreguntas('280','27','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Pecuarios')","javascript:VerFicha('280','27')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo27.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo27.zip,
23,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,28,Gastos en Actividades Pecuarias,,,,,"javascript:VerPreguntas('280','28','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Pecuarias')","javascript:VerFicha('280','28')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo28.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo28.zip,
24,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,34,Sumarias ( Variables Calculadas ),,,,,"javascript:VerPreguntas('280','34','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Sumarias+%28+Variables+Calculadas+%29')","javascript:VerFicha('280','34')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo34.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo34.zip,
25,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,37,Programas Sociales (Miembros del Hogar),,,,,"javascript:VerPreguntas('280','37','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Programas+Sociales++%28Miembros+del+Hogar%29')","javascript:VerFicha('280','37')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo37.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo37.zip,
26,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,77,Ingresos del Trabajador Independiente,,,,,"javascript:VerPreguntas('280','77','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Ingresos+del+Trabajador+Independiente')","javascript:VerFicha('280','77')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo77.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo77.zip,
27,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,78,Bienes y Servicios de Cuidados Personales,,,,,"javascript:VerPreguntas('280','78','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Bienes+y+Servicios+de+Cuidados+Personales')","javascript:VerFicha('280','78')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo78.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo78.zip,
28,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,84,Participación Ciudadana,,,,,"javascript:VerPreguntas('280','84','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Participaci%F3n+Ciudadana')","javascript:VerFicha('280','84')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo84.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo84.zip,
29,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,85,"Gobernabilidad, Democracia y Transparencia",,,,,"javascript:VerPreguntas('280','85','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gobernabilidad%2C+Democracia+y+Transparencia')","javascript:VerFicha('280','85')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo85.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo85.zip,
1,2005,55,281,Condiciones de Vida y Pobreza - ENAHO,1,Características de la Vivienda y del Hogar,,,,,"javascript:VerPreguntas('281','01','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar')","javascript:VerFicha('281','01')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo01.zip,
2,2005,55,281,Condiciones de Vida y Pobreza - ENAHO,2,Características de los Miembros del Hogar,,,,,"javascript:VerPreguntas('281','02','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+los+Miembros+del+Hogar')","javascript:VerFicha('281','02')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo02.zip,
3,2005,55,281,Condiciones de Vida y Pobreza - ENAHO,3,Educación,,,,,"javascript:VerPreguntas('281','03','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Educaci%F3n')","javascript:VerFicha('281','03')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo03.zip,
4,2005,55,281,Condiciones de Vida y Pobreza - ENAHO,4,Salud,,,,,"javascript:VerPreguntas('281','04','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Salud')","javascript:VerFicha('281','04')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo04.zip,
