anio,periodo,codigo_encuesta,encuesta,modulo,verpreguntas,verficha,spss,stata,csv,encuesta_ref,unnamed:_0,dbf,codigo_modulo
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Salud,"javascript:VerPreguntas('280','04','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Salud')","javascript:VerFicha('280','04')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo04.zip,,enaho,,,4
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Empleo e Ingresos,"javascript:VerPreguntas('280','05','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Empleo+e+Ingresos')","javascript:VerFicha('280','05')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo05.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo05.zip,,enaho,,,5
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Gastos en Alimentos y Bebidas (Módulo 601),"javascript:VerPreguntas('280','07','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Alimentos+y+Bebidas+%28M%F3dulo+601%29')","javascript:VerFicha('280','07')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo07.zip,,enaho,,,7
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Instituciones Beneficas,"javascript:VerPreguntas('280','08','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Instituciones+Beneficas')","javascript:VerFicha('280','08')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo08.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo08.zip,,enaho,,,8
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Mantenimiento de la Vivienda,"javascript:VerPreguntas('280','09','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Mantenimiento+de+la+Vivienda')","javascript:VerFicha('280','09')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo09.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo09.zip,,enaho,,,9
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Transportes y Comunicaciones,"javascript:VerPreguntas('280','10','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Transportes+y+Comunicaciones')","javascript:VerFicha('280','10')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo10.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo10.zip,,enaho,,,10
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Servicios a la Vivienda,"javascript:VerPreguntas('280','11','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Servicios+a+la+Vivienda')","javascript:VerFicha('280','11')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo11.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo11.zip,,enaho,,,11
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,"Esparcimiento , Diversion y Servicios de Cultura","javascript:VerPreguntas('280','12','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Esparcimiento+%2C+Diversion+y+Servicios+de+Cultura')","javascript:VerFicha('280','12')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo12.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo12.zip,,enaho,,,12
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Vestido y Calzado,"javascript:VerPreguntas('280','13','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Vestido+y+Calzado')","javascript:VerFicha('280','13')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo13.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo13.zip,,enaho,,,13
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Gastos de Transferencias,"javascript:VerPreguntas('280','15','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+de+Transferencias')","javascript:VerFicha('280','15')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo15.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo15.zip,,enaho,,,15
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Muebles y Enseres,"javascript:VerPreguntas('280','16','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Muebles+y+Enseres')","javascript:VerFicha('280','16')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo16.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo16.zip,,enaho,,,16
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Otros Bienes y Servicios,"javascript:VerPreguntas('280','17','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Otros+Bienes+y+Servicios')","javascript:VerFicha('280','17')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo17.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo17.zip,,enaho,,,17
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Equipamiento del Hogar,"javascript:VerPreguntas('280','18','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Equipamiento+del+Hogar')","javascript:VerFicha('280','18')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo18.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo18.zip,,enaho,,,18
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Producción Agrícola,"javascript:VerPreguntas('280','22','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Agr%EDcola')","javascript:VerFicha('280','22')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo22.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo22.zip,,enaho,,,22
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Subproductos Agricolas,"javascript:VerPreguntas('280','23','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Agricolas')","javascript:VerFicha('280','23')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo23.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo23.zip,,enaho,,,23
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Producción Forestal,"javascript:VerPreguntas('280','24','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Forestal')","javascript:VerFicha('280','24')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo24.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo24.zip,,enaho,,,24
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Gastos en Actividades Agricolas y/o Forestales,"javascript:VerPreguntas('280','25','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Agricolas+y%2Fo+Forestales')","javascript:VerFicha('280','25')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo25.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo25.zip,,enaho,,,25
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Producción Pecuaria,"javascript:VerPreguntas('280','26','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Pecuaria')","javascript:VerFicha('280','26')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo26.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo26.zip,,enaho,,,26
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Subproductos Pecuarios,"javascript:VerPreguntas('280','27','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Pecuarios')","javascript:VerFicha('280','27')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo27.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo27.zip,,enaho,,,27
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Gastos en Actividades Pecuarias,"javascript:VerPreguntas('280','28','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Pecuarias')","javascript:VerFicha('280','28')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo28.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo28.zip,,enaho,,,28
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Sumarias ( Variables Calculadas ),"javascript:VerPreguntas('280','34','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Sumarias+%28+Variables+Calculadas+%29')","javascript:VerFicha('280','34')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo34.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo34.zip,,enaho,,,34
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Programas Sociales (Miembros del Hogar),"javascript:VerPreguntas('280','37','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Programas+Sociales++%28Miembros+del+Hogar%29')","javascript:VerFicha('280','37')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo37.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo37.zip,,enaho,,,37
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Ingresos del Trabajador Independiente,"javascript:VerPreguntas('280','77','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Ingresos+del+Trabajador+Independiente')","javascript:VerFicha('280','77')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo77.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo77.zip,,enaho,,,77
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Bienes y Servicios de Cuidados Personales,"javascript:VerPreguntas('280','78','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Bienes+y+Servicios+de+Cuidados+Personales')","javascript:VerFicha('280','78')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo78.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo78.zip,,enaho,,,78
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Participación Ciudadana,"javascript:VerPreguntas('280','84','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Participaci%F3n+Ciudadana')","javascript:VerFicha('280','84')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo84.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo84.zip,,enaho,,,84
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,"Gobernabilidad, Democracia y Transparencia","javascript:VerPreguntas('280','85','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gobernabilidad%2C+Democracia+y+Transparencia')","javascript:VerFicha('280','85')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo85.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo85.zip,,enaho,,,85
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Características de la Vivienda y del Hogar,"javascript:VerPreguntas('281','01','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar')","javascript:VerFicha('281','01')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo01.zip,,enaho,,,1
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Características de los Miembros del Hogar,"javascript:VerPreguntas('281','02','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+los+Miembros+del+Hogar')","javascript:VerFicha('281','02')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo02.zip,,enaho,,,2
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Educación,"javascript:VerPreguntas('281','03','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Educaci%F3n')","javascript:VerFicha('281','03')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo03.zip,,enaho,,,3
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Salud,"javascript:VerPreguntas('281','04','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Salud')","javascript:VerFicha('281','04')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo04.zip,,enaho,,,4
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Empleo e Ingresos,"javascript:VerPreguntas('281','05','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Empleo+e+Ingresos')","javascript:VerFicha('281','05')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo05.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo05.zip,,enaho,,,5
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Gastos en Alimentos y Bebidas (Módulo 601),"javascript:VerPreguntas('281','07','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Alimentos+y+Bebidas+%28M%F3dulo+601%29')","javascript:VerFicha('281','07')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo07.zip,,enaho,,,7
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Instituciones Beneficas,"javascript:VerPreguntas('281','08','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Instituciones+Beneficas')","javascript:VerFicha('281','08')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo08.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo08.zip,,enaho,,,8
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Mantenimiento de la Vivienda,"javascript:VerPreguntas('281','09','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Mantenimiento+de+la+Vivienda')","javascript:VerFicha('281','09')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo09.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo09.zip,,enaho,,,9
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Transportes y Comunicaciones,"javascript:VerPreguntas('281','10','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Transportes+y+Comunicaciones')","javascript:VerFicha('281','10')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo10.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo10.zip,,enaho,,,10
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Servicios a la Vivienda,"javascript:VerPreguntas('281','11','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Servicios+a+la+Vivienda')","javascript:VerFicha('281','11')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo11.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo11.zip,,enaho,,,11
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,"Esparcimiento , Diversion y Servicios de Cultura","javascript:VerPreguntas('281','12','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Esparcimiento+%2C+Diversion+y+Servicios+de+Cultura')","javascript:VerFicha('281','12')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo12.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo12.zip,,enaho,,,12
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Vestido y Calzado,"javascript:VerPreguntas('281','13','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Vestido+y+Calzado')","javascript:VerFicha('281','13')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo13.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo13.zip,,enaho,,,13
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Gastos de Transferencias,"javascript:VerPreguntas('281','15','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+de+Transferencias')","javascript:VerFicha('281','15')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo15.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo15.zip,,enaho,,,15
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Muebles y Enseres,"javascript:VerPreguntas('281','16','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Muebles+y+Enseres')","javascript:VerFicha('281','16')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo16.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo16.zip,,enaho,,,16
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Otros Bienes y Servicios,"javascript:VerPreguntas('281','17','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Otros+Bienes+y+Servicios')","javascript:VerFicha('281','17')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo17.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo17.zip,,enaho,,,17
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Equipamiento del Hogar,"javascript:VerPreguntas('281','18','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Equipamiento+del+Hogar')","javascript:VerFicha('281','18')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo18.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo18.zip,,enaho,,,18
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Producción Agrícola,"javascript:VerPreguntas('281','22','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Agr%EDcola')","javascript:VerFicha('281','22')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo22.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo22.zip,,enaho,,,22
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Subproductos Agricolas,"javascript:VerPreguntas('281','23','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Agricolas')","javascript:VerFicha('281','23')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo23.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo23.zip,,enaho,,,23
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Producción Forestal,"javascript:VerPreguntas('281','24','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Forestal')","javascript:VerFicha('281','24')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo24.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo24.zip,,enaho,,,24
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Gastos en Actividades Agricolas y/o Forestales,"javascript:VerPreguntas('281','25','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Agricolas+y%2Fo+Forestales')","javascript:VerFicha('281','25')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo25.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo25.zip,,enaho,,,25
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Producción Pecuaria,"javascript:VerPreguntas('281','26','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Pecuaria')","javascript:VerFicha('281','26')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo26.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo26.zip,,enaho,,,26
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Subproductos Pecuarios,"javascript:VerPreguntas('281','27','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Pecuarios')","javascript:VerFicha('281','27')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo27.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo27.zip,,enaho,,,27
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Gastos en Actividades Pecuarias,"javascript:VerPreguntas('281','28','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Pecuarias')","javascript:VerFicha('281','28')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo28.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo28.zip,,enaho,,,28
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Sumarias ( Variables Calculadas ),"javascript:VerPreguntas('281','34','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Sumarias+%28+Variables+Calculadas+%29')","javascript:VerFicha('281','34')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo34.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo34.zip,,enaho,,,34
2005,55,281,Condiciones de Vida y Pobreza - ENAHO,Programas Sociales (Miembros del Hogar),"javascript:VerPreguntas('281','37','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Programas+Sociales++%28Miembros+del+Hogar%29')","javascript:VerFicha('281','37')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/281-Modulo37.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/281-Modulo37.zip,,enaho,,,37
