,Nro,Año,Período,Código Encuesta,Encuesta,Código Módulo,Módulo,Ficha,Descargar,Descargar.1,Descargar.2,VerPreguntas,VerFicha,SPSS,DBF,CSV
5,6,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,106,Empleo Urbano y Rural versión1 (Mayo - Julio),,,,,"javascript:VerPreguntas('266','106','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Empleo+Urbano+y+Rural+versi%F3n1++%28Mayo+%2D+Julio%29')","javascript:VerFicha('266','106')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo106.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo106.zip,
6,7,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,107,Empleo Urbano y Rural versión2 (Agosto - Diciembre),,,,,"javascript:VerPreguntas('266','107','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Empleo+Urbano+y+Rural+versi%F3n2++%28Agosto+%2D+Diciembre%29')","javascript:VerFicha('266','107')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo107.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo107.zip,
7,8,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,108,Características de la Actividad y Explotación Agropecuaria 1,,,,,"javascript:VerPreguntas('266','108','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+la+Actividad+y+Explotaci%F3n+Agropecuaria+1')","javascript:VerFicha('266','108')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo108.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo108.zip,
8,9,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,109,Características de la Actividad y Explotación Agropecuaria 2,,,,,"javascript:VerPreguntas('266','109','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+la+Actividad+y+Explotaci%F3n+Agropecuaria+2')","javascript:VerFicha('266','109')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo109.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo109.zip,
9,10,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,110,Superficie Sembrada y Producida de los Cultivos,,,,,"javascript:VerPreguntas('266','110','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Superficie+Sembrada+y+Producida+de+los+Cultivos')","javascript:VerFicha('266','110')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo110.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo110.zip,
10,11,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,111,Característica de los Cultivos Producidos,,,,,"javascript:VerPreguntas('266','111','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDstica+de+los+Cultivos+Producidos')","javascript:VerFicha('266','111')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo111.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo111.zip,
11,12,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,112,Producción y Destino de los Productos Producidos,,,,,"javascript:VerPreguntas('266','112','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Producci%F3n+y+Destino+de+los+Productos+Producidos')","javascript:VerFicha('266','112')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo112.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo112.zip,
12,13,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,113,Sub Productos Agrícolas,,,,,"javascript:VerPreguntas('266','113','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Sub+Productos+Agr%EDcolas')","javascript:VerFicha('266','113')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo113.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo113.zip,
13,14,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,114,Buenas Prácticas Agrícolas,,,,,"javascript:VerPreguntas('266','114','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Buenas+Pr%E1cticas+Agr%EDcolas')","javascript:VerFicha('266','114')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo114.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo114.zip,
14,15,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,115,Tecnología agrícola,,,,,"javascript:VerPreguntas('266','115','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Tecnolog%EDa+agr%EDcola')","javascript:VerFicha('266','115')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo115.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo115.zip,
15,16,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,116,Producción de la Actividad Pecuaria 1,,,,,"javascript:VerPreguntas('266','116','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Producci%F3n+de+la+Actividad+Pecuaria+1')","javascript:VerFicha('266','116')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo116.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo116.zip,
16,17,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,117,Producción de la Actividad Pecuaria 2,,,,,"javascript:VerPreguntas('266','117','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Producci%F3n+de+la+Actividad+Pecuaria+2')","javascript:VerFicha('266','117')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo117.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo117.zip,
17,18,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,118,Sub Productos Pecuarios,,,,,"javascript:VerPreguntas('266','118','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Sub+Productos+Pecuarios')","javascript:VerFicha('266','118')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo118.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo118.zip,
18,19,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,119,Buenas Practicas Pecuarias,,,,,"javascript:VerPreguntas('266','119','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Buenas+Practicas+Pecuarias')","javascript:VerFicha('266','119')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo119.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo119.zip,
19,20,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,120,Tecnologia Pecuaria - Inocuedad,,,,,"javascript:VerPreguntas('266','120','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Tecnologia+Pecuaria+%2D+Inocuedad')","javascript:VerFicha('266','120')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo120.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo120.zip,
20,21,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,121,Servicios de Extensión Agraria,,,,,"javascript:VerPreguntas('266','121','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Servicios+de+Extensi%F3n+Agraria')","javascript:VerFicha('266','121')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo121.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo121.zip,
21,22,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,122,Financiamiento,,,,,"javascript:VerPreguntas('266','122','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Financiamiento')","javascript:VerFicha('266','122')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo122.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo122.zip,
22,23,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,123,Costos de Producción,,,,,"javascript:VerPreguntas('266','123','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Costos+de+Producci%F3n')","javascript:VerFicha('266','123')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo123.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo123.zip,
0,1,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,133,Características de la Vivienda y del Hogar - Urbano y Rural,,,,,"javascript:VerPreguntas('293','133','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar+%2D+Urbano+y+Rural')","javascript:VerFicha('293','133')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo133.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo133.zip,
1,2,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,134,Características de los Residentes Habituales del Hogar - Urbano y Rural,,,,,"javascript:VerPreguntas('293','134','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+los+Residentes+Habituales+del+Hogar+%2D+Urbano+y+Rural')","javascript:VerFicha('293','134')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo134.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo134.zip,
2,3,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,135,Servicios Educativos Básicos - Urbano y Rural,,,,,"javascript:VerPreguntas('293','135','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Servicios+Educativos+B%E1sicos+%2D+Urbano+y+Rural')","javascript:VerFicha('293','135')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo135.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo135.zip,
3,4,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,136,Telecomunicación Rural - Rural,,,,,"javascript:VerPreguntas('293','136','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Telecomunicaci%F3n+Rural+%2D+Rural')","javascript:VerFicha('293','136')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo136.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo136.zip,
4,5,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,137,Seguridad Ciudadana - Urbano,,,,,"javascript:VerPreguntas('293','137','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Seguridad+Ciudadana+%2D+Urbano')","javascript:VerFicha('293','137')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo137.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo137.zip,
5,6,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,138,Empleo - Urbano y Rural,,,,,"javascript:VerPreguntas('293','138','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Empleo+%2D+Urbano+y+Rural')","javascript:VerFicha('293','138')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo138.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo138.zip,
6,7,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,139,Características de la Actividad y explotacion agropecuaria 1,,,,,"javascript:VerPreguntas('293','139','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+la+Actividad+y+explotacion+agropecuaria+1')","javascript:VerFicha('293','139')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo139.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo139.zip,
7,8,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,140,Características de la Actividad y explotacion agropecuaria 2,,,,,"javascript:VerPreguntas('293','140','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+la+Actividad+y+explotacion+agropecuaria+2')","javascript:VerFicha('293','140')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo140.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo140.zip,
8,9,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,141,Superficie Sembrada y Cosechada de los Cultivos,,,,,"javascript:VerPreguntas('293','141','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Superficie+Sembrada+y+Cosechada+de+los+Cultivos')","javascript:VerFicha('293','141')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo141.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo141.zip,
9,10,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,142,Características de los Cultivos Cosechados,,,,,"javascript:VerPreguntas('293','142','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+los+Cultivos+Cosechados')","javascript:VerFicha('293','142')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo142.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo142.zip,
10,11,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,143,Producción y Destino de los Cultivos Cosechados,,,,,"javascript:VerPreguntas('293','143','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Producci%F3n+y+Destino+de+los+Cultivos+Cosechados')","javascript:VerFicha('293','143')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo143.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo143.zip,
11,12,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,144,SubProductos Agrícolas,,,,,"javascript:VerPreguntas('293','144','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','SubProductos+Agr%EDcolas')","javascript:VerFicha('293','144')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo144.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo144.zip,
12,13,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,145,Buenas Prácticas Agrícolas,,,,,"javascript:VerPreguntas('293','145','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Buenas+Pr%E1cticas+Agr%EDcolas')","javascript:VerFicha('293','145')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo145.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo145.zip,
13,14,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,146,Tecnología Agrícola,,,,,"javascript:VerPreguntas('293','146','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Tecnolog%EDa+Agr%EDcola')","javascript:VerFicha('293','146')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo146.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo146.zip,
14,15,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,147,Producción de la Actividad Pecuaria 1,,,,,"javascript:VerPreguntas('293','147','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Producci%F3n+de+la+Actividad+Pecuaria+1')","javascript:VerFicha('293','147')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo147.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo147.zip,
15,16,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,148,Producción de la Actividad Pecuaria 2,,,,,"javascript:VerPreguntas('293','148','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Producci%F3n+de+la+Actividad+Pecuaria+2')","javascript:VerFicha('293','148')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo148.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo148.zip,
16,17,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,149,SubProductos Pecuarios,,,,,"javascript:VerPreguntas('293','149','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','SubProductos+Pecuarios')","javascript:VerFicha('293','149')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo149.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo149.zip,
17,18,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,150,Buenas Prácticas Pecuarias,,,,,"javascript:VerPreguntas('293','150','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Buenas+Pr%E1cticas+Pecuarias')","javascript:VerFicha('293','150')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo150.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo150.zip,
