,Nro,Año,Período,Código Encuesta,Encuesta,Código Módulo,Módulo,Ficha,Descargar,Descargar.1,Descargar.2,VerPreguntas,VerFicha,SPSS,STATA,CSV,DBF
10,11,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1639,Disciplina Infantil,,,,,"javascript:VerPreguntas('910','1639','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Disciplina+Infantil')","javascript:VerFicha('910','1639')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1639.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1639.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1639.zip,
11,12,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1640,Encuesta de salud,,,,,"javascript:VerPreguntas('910','1640','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Encuesta+de+salud')","javascript:VerFicha('910','1640')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1640.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1640.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1640.zip,
12,13,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1641,Programas Sociales,,,,,"javascript:VerPreguntas('910','1641','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Programas+Sociales')","javascript:VerFicha('910','1641')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1641.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1641.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1641.zip,
0,1,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('32','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('32','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo64.zip
1,2,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('32','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('32','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo65.zip
2,3,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('32','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('32','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo66.zip
3,4,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('32','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('32','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo67.zip
4,5,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('32','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('32','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo69.zip
5,6,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('32','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('32','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo70.zip
6,7,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('32','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('32','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo71.zip
7,8,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,72,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('32','72','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('32','72')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo72.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo72.zip
8,9,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,73,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('32','73','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('32','73')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo73.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo73.zip
9,10,1996,5,32,Encuesta Demográfica y de Salud Familiar - ENDES,74,Peso y talla - Anemia,,,,,"javascript:VerPreguntas('32','74','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Peso+y+talla+%2D+Anemia')","javascript:VerFicha('32','74')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/32-Modulo74.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/32-Modulo74.zip
0,1,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('35','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('35','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo64.zip
1,2,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('35','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('35','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo65.zip
2,3,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('35','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('35','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo66.zip
3,4,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('35','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('35','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo67.zip
4,5,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('35','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('35','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo69.zip
5,6,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('35','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('35','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo70.zip
6,7,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('35','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('35','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo71.zip
7,8,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,72,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('35','72','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('35','72')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo72.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo72.zip
8,9,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,73,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('35','73','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('35','73')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo73.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo73.zip
9,10,2000,5,35,Encuesta Demográfica y de Salud Familiar - ENDES,74,Peso y talla - Anemia,,,,,"javascript:VerPreguntas('35','74','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Peso+y+talla+%2D+Anemia')","javascript:VerFicha('35','74')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/35-Modulo74.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/35-Modulo74.zip
0,1,2004,5,120,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('120','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('120','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/120-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/120-Modulo64.zip
1,2,2004,5,120,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('120','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('120','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/120-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/120-Modulo65.zip
2,3,2004,5,120,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('120','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('120','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/120-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/120-Modulo66.zip
3,4,2004,5,120,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('120','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('120','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/120-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/120-Modulo67.zip
4,5,2004,5,120,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('120','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('120','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/120-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/120-Modulo69.zip
5,6,2004,5,120,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('120','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('120','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/120-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/120-Modulo70.zip
6,7,2004,5,120,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('120','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('120','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/120-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/120-Modulo71.zip
7,8,2004,5,120,Encuesta Demográfica y de Salud Familiar - ENDES,72,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('120','72','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('120','72')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/120-Modulo72.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/120-Modulo72.zip
8,9,2004,5,120,Encuesta Demográfica y de Salud Familiar - ENDES,73,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('120','73','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('120','73')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/120-Modulo73.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/120-Modulo73.zip
0,1,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('150','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('150','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo64.zip
1,2,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('150','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('150','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo65.zip
2,3,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('150','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('150','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo66.zip
3,4,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('150','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('150','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo67.zip
4,5,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('150','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('150','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo69.zip
5,6,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('150','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('150','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo70.zip
6,7,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('150','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('150','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo71.zip
7,8,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,72,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('150','72','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('150','72')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo72.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo72.zip
8,9,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,73,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('150','73','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('150','73')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo73.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo73.zip
9,10,2005,5,150,Encuesta Demográfica y de Salud Familiar - ENDES,74,Peso y talla - Anemia,,,,,"javascript:VerPreguntas('150','74','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Peso+y+talla+%2D+Anemia')","javascript:VerFicha('150','74')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/150-Modulo74.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/150-Modulo74.zip
0,1,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('183','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('183','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo64.zip
